"Name-Surname","Nation","Age","Height","Position","Leg","League","xG","xA","Touches","Accurate pass per game","Tackles","Aerial duels won","Possession lost","Fouls per game","Yellow Card"
"Aleix Garcia","Spain","26","173","MID","R","ESP","1.62","1.91","87.70","66.00","5.60","0.50","11.20","0.80","4"
"Antal Yaakobishvili","Hungary","19","193","DEF","L","ESP","0.00","0.12","51.00","37.00","3.00","2.00","6.00","1.00","1"
"Savio","Brazil","20","176","MID","L","ESP","5.39","9.20","45.90","20.14","4.70","0.10","14.21","0.80","5"
"Daley Blind","Nethertlands","34","180","DEF","L","ESP","1.61","1.71","85.70","66.60","4.30","1.20","9.20","0.50","6"
"Jastin Garcia","Spain","20","180","ATT","R","ESP","0.00","0.55","4.50","0.50","0.50","0.00","2.00","0.00","0"
"Portu","Spain","31","167","ATT","R","ESP","3.48","2.45","14.19","7.00","1.20","0.20","3.80","0.50","3"
"Christian Stuani","Uruguay","37","184","ATT","R","ESP","8.52","0.23","7.80","2.70","0.40","0.80","1.90","1.0","6"
"Alejandro Baena","Spain","22","174","MID","R","ESP","8.33","9.22","49.30","24.40","3.50","0.20","14.40","1.50","10"
"Ante Budimir","Croatia","32","190","ATT","L ","ESP","13.81","1.79","25.30","7.40","1.70","5.20","10.50","1.20","4"
"Ruben Garcia","Spain","30","171","ATT","L","ESP","2.28","3.50","34.80","16.40","2.80","1.10","10.80","0.80","1"
"David Garcia","Spain","30","180","DEF","R","ESP","0.95","0.99","60.00","40.80","4.80","3.50","9.00","1.20","5"
"Ruben Pena","Spain","32","170","DEF","R","ESP","0.76","2.35","47.30","17.40","4.70","0.60","15.40","0.90","2"
"Iker Munoz","Spain","21","179","MID","R","ESP","1.02","0.42","44.60","26.00","3.70","2.10","10.30","1.30","3"
"Jonathan Viera","Spain","34","171","MID","R","ESP","3.21","2.22","59.90","43.30","3.00","0.20","9.80","0.70","2"
"Luis Javier Suares","Colombia","26","185","ATT","R","ESP","5.52","0.49","23.70","9.40","1.30","0.60","6.30","1.30","2"
"Marc Pubil","Spain","20","190","DEF","R","ESP","0.65","0.82","57.50","23.10","3.90","1.10","14.90","1.00","2"
"Sergio Arribas","Spain","22","171","MID","L","ESP","6.96","3.04","30.90","15.80","2.70","0.60","7.30","0.40","0"
"Vedat Muriqi","Kosovo","30","194","ATT","L","ESP","9.02","1.77","36.70","14.00","2.70","5.30","13.70","1.50","5"
"Isco","Spain","32","176","MID","R","ESP","8.30","6.36","71.60","39.70","4.40","0.60","17.40","1.10","10"
"Nabil Fekir","France","30","173","MID","L","ESP","2.19","2.12","41.30","22.70","2.30","0.50","10.20","1.20","0"
"Willian Jose","Brazil","32","189","ATT","R","ESP","5.50","1.56","21.90","12.30","1.20","1.00","5.30","0.30","0"
"Pablo Busto","Spain","18","180","DEF","R","ESP","0.01","0.07","18.00","8.00","0.50","0.00","4.50","0.00","0"
"Inaki Williams","Ghana","29","186","MID","R","ESP","8.83","5.74","46.40","18.60","3.50","1.00","15.60","0.90","4"
"Gorka Guruzeta","Spain","27","188","ATT","R","ESP","11.71","1.76","31.30","13.10","2.40","2.20","9.40","1.40","2"
"Takefusa Kubo","Japan","22","174","MID","L","ESP","3.47","6.24","42.10","18.60","3.20","0.40","13.00","0.70","2"
"Braii Mendez ","Spain","27","184","MID","L","ESP","3.99","4.39","51.50","27.90","3.70","0.80","13.70","1.70","6"
"Toni Kroos","Germany","34","183","MID","R","ESP","1.56","1.73","81.70","66.70","4.50","0.30","7.10","0.50","3"
"Joao Felix","Portugal","24","181","ATT","R","ESP","8.31","2.57","35.60","18.10","2.40","0.30","8.80","0.70","3"
"Artem Dovbyk","Ukraine","26","189","ATT","L","ESP","20.84","3.25","18.80","7.80","0.70","1.20","6.20","0.70","2"
"Samuel Lino","Brazil","24","178","ATT","R","ESP","4.55","2.89","43.50","22.90","4.40","0.30","9.40","0.80","0"
"Florian Lejeune","France","32","190","DEF","R","ESP","3.08","0.81","65.90","44.50","4.70","1.90","11.00","0.70","5"
"Ivan Rakitic","Croatia","36","184","MID","R","ESP","1.14","4.23","69.00","48.00","5.30","0.30","13.70","0.8","1"
